#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS
155,Alan Carter,802949,802949,sa3020817,,LAA,RP,RP
156,Alan Marrero,669909,669909,sa918102,,FA,C,C
157,Alan Mejia,683013,683013,sa3008420,,NYY,OF,OF
158,Alan Mundo,678426,678426,sa3005688,,SD,RP,RP
159,Alan Rangel,660604,660604,sa877578,,ATL,SP,SP
160,Alan Roden,702176,702176,sa3020212,,TOR,OF,OF
161,Alan Strong,681841,681841,sa3006768,,FA,SP,SP
162,Alan Trejo,676701,676701,20056,11036,COL,2B/SS,2B/SS
163,Alaska Abney,685095,685095,sa3017308,,CLE,RP,RP
164,Alberis Ferrer,678910,678910,sa3005584,,MIL,SS,SS
165,Albert Abreu,656061,656061,17485,9895,NYY,RP,RP
166,Albert Alberto,808293,808293,sa3021616,,CHW,OF,OF
167,Albert Almora Jr.,546991,14109,14109,,FA,OF,OF
168,Albert Avila,678909,678909,sa3006204,,FA,OF,OF
169,Albert Carpio,800330,800330,sa3018518,,ARI,SS,SS
170,Albert Fabian,683546,683546,sa3008888,,SD,OF,OF
171,Albert Feliz,682765,682765,sa3008799,,BOS,OF,OF
172,Albert Gutierrez,808212,808212,sa3021200,,CHC,1B,1B
173,Albert Jerez,680858,680858,sa3008378,,FA,SS,SS
174,Albert Lee,663529,663529,sa3010146,,FA,SS,SS
175,Alberto Baldonado,593604,593604,11812,11277,FA,RP,RP
176,Alberto Barriga,800569,800569,sa3018595,,ARI,C,C
177,Alberto Bernal,682866,682866,sa3008825,,FA,1B,1B
178,Alberto Hernandez,800516,800516,sa3018582,,HOU,SS,SS
179,Alberto Mendez,800160,800160,sa3018458,,CLE,SS,SS
180,Alberto Mota,699215,699215,sa3016712,,TEX,RP,RP
181,Alberto Rodriguez,679754,679754,sa3005603,,SEA,OF,OF
182,Albertson Asigen,692694,692694,sa3016639,,BOS,OF,OF
183,Albertus Barber,673766,673766,sa1172728,,FA,RP,RP
184,Alcides Escobar,444876,6310,6310,,FA,SS,SS
185,Aldalay Kolokie,813985,813985,sa3021321,,COL,OF,OF
186,Aldenis Sanchez,672479,672479,sa3003222,,FA,OF,OF
187,Aldo Ramirez,2022680048,2022680048,,,WSH,P,P
188,Aldrem Corredor,625506,625506,sa736852,,PHI,OF,OF
189,Aldrich De Jongh,680884,680884,sa3007974,,FA,OF,OF
190,Aldrin Batista,702881,702881,sa3019119,,CHW,SP,SP
191,Aldrin Lucas,691492,691492,sa3015554,,KC,C,C
192,Aldry Acosta,672755,672755,sa3002794,,LAD,RP,RP
193,Alec Barger,681897,681897,sa3010566,,COL,SP,SP
194,Alec Bettinger,676424,676424,20312,,FA,RP,RP
195,Alec Bohm,664761,664761,21618,10125,PHI,1B/3B,1B/3B
196,Alec Burleson,676475,676475,27615,11421,STL,1B/OF,1B/OF
197,Alec Marsh,679525,679525,27451,11144,KC,SP,SP
198,Alec Mills,621219,13834,13834,9204,CIN,SP,SP
199,Alec Sayre,805297,805297,sa3020283,,MIN,OF,OF
200,Alec Willis,701650,701650,,,STL,P,P
201,Aledmys Diaz,649557,15937,15937,9269,OAK,2B/SS/ 3B/OF,1B/2B/ SS/3B/OF
202,Alejandro Gomez,702901,702901,sa3017618,,NYY,RP,RP
203,Alejandro Hidalgo,691576,691576,sa3015151,,MIN,SP,SP
204,Alejandro Kirk,672386,672386,22581,10851,TOR,C,C
205,Alejandro Loaiza,700335,700335,sa3016195,,SL,C,C
206,Alejandro Manzano,703835,703835,sa3019125,,OAK,SP,SP
207,Alejandro Mateo,670376,670376,sa918495,,CHW,RP,RP
208,Alejandro Melean,678287,678287,sa3006815,,TOR,SP,SP
209,Alejandro Nunez,805168,805168,sa3018977,,HOU,SS,SS
210,Alejandro Osuna,696030,696030,sa3015127,,TEX,OF,OF
211,Alejandro Pie,682636,682636,sa3008754,10374,TB,SS,SS
212,Alejandro Rios,800313,800313,sa3018511,,ARI,C,C
