#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS
573,Austin Adams,613534,613534,13801,9531,ARI,RP,RP
574,Austin Aldeano,699054,699054,sa3016259,,CLE,SP,SP
575,Austin Allen,664119,664119,18083,,MIA,C,C
576,Austin Barnes,605131,12158,12158,9049,LAD,C,C
577,Austin Beck,675648,675648,sa3004055,10139,OAK,OF,OF
578,Austin Bergner,666123,666123,sa3011122,,DET,SP,SP
579,Austin Bibens-Dirkx,502212,502212,9559,9653,FA,SP,SP
580,Austin Brice,592169,17237,17237,,MIN,RP,RP
581,Austin Briggs,682106,682106,sa3007261,,OAK,RP,RP
582,Austin Callahan,702472,702472,sa3017407,,CIN,3B,3B
583,Austin Charles,800051,800051,sa3020497,,KC,SS,SS
584,Austin Cox,680735,680735,24604,10934,KC,SP,SP
585,Austin Davis,656354,656354,17117,,FA,RP,RP
586,Austin Dean,621573,621573,18288,,FA,OF,1B/OF
587,Austin Dennis,681967,681967,sa3007650,,FA,OF,OF
588,Austin Faith,688542,688542,sa3014803,,NYM,SP,SP
589,Austin Gauthier,702789,702789,sa3017121,,LAD,SS,SS
590,Austin Gomber,596295,16561,16561,9847,COL,SP,SP
591,Austin Hansen,667712,667712,sa3006956,,HOU,SP,SP
592,Austin Hays,669720,669720,19363,9763,BAL,OF,OF
593,Austin Hedges,595978,12976,12976,8431,PIT,C,C
594,Austin Hendrick,690988,690988,sa3014521,10828,CIN,OF,OF
595,Austin Kitchen,685116,685116,sa3015124,,COL,SP,SP
596,Austin Listi,676730,676730,sa3004170,,FA,1B,1B
597,Austin Love,676153,676153,sa3017609,,STL,SP,SP
598,Austin Martin,668885,668885,sa3014454,10833,MIN,SS,SS
599,Austin Meadows,640457,640457,15672,9783,DET,OF,OF
600,Austin Murr,689456,689456,sa3016967,,DET,OF,OF
601,Austin Nola,543592,15941,15941,9504,SD,C,C
602,Austin Pope,687166,687166,sa3010816,,ARI,SP,SP
